href,Planning Area,Name,Search Engine Rating,Sponsored,Star Rating,Reviews,Category,Price Rating,Metadata,Tags,About
https://www.google.com/maps/place/Takagi+Ramen+@+Ang+Mo+Kio/data=!4m7!3m6!1s0x31da16e633bc8d05:0x900db2e7cd0a8bc6!8m2!3d1.3692976!4d103.8470294!16s%2Fg%2F11cly8bcbp!19sChIJBY28M-YW2jERxosKzeeyDZA?authuser=0&hl=en&rclk=1,Ang Mo Kio,Takagi Ramen @ Ang Mo Kio,1,False,4.6,4577,Ramen restaurant,Price: Inexpensive,"['51 Ang Mo Kio Ave 3, #01-01C, Singapore 569922', 'Floor 1 · 51@AMK', 'Place an order', 'Menu', 'takagiramen.com', '9170 7870', '9R9W+PR Singapore', 'Send to your phone']","['value - 59', 'queue - 42', 'bubble tea - 35', 'salted egg - 19', 'soup base - 12', 'free refill - 10', 'matcha - 10', 'budget - 10', 'cramp - 9']","['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeaway', 'Dine-in', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Coffee', 'Late-night food', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Dessert', 'Seating', 'Toilets', 'Casual', 'Family friendly', 'Groups', 'Accepts reservations', 'Debit cards', 'Good for kids', 'Paid parking lot']"
https://www.google.com/maps/place/Gimee+Face+AMK/data=!4m7!3m6!1s0x31da17d946441a4f:0x85735d7e98d3f006!8m2!3d1.3644044!4d103.8491651!16s%2Fg%2F11m4mdc6d6!19sChIJTxpERtkX2jERBvDTmH5dc4U?authuser=0&hl=en&rclk=1,Ang Mo Kio,Gimee Face AMK,2,False,3.1,86,Hawker Stall,NAN,"['339 Ang Mo Kio Ave 1, Singapore 560338', 'Place an order', 'Send to your phone', 'Claim this business']","['noodles - 23', 'cooking - 9', 'fishball - 7', 'price - 6', 'pork - 5', 'chilli - 4', 'bowl - 4', 'signature - 3', 'mee pok - 3']","['Outdoor seating', 'Delivery', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Seating', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Good for kids']"
https://www.google.com/maps/place/Dim+Sum+Express+%28Ang+Mo+Kio%29/data=!4m7!3m6!1s0x31da175f9b57905b:0x488ee7493b451ac8!8m2!3d1.3706254!4d103.8570622!16s%2Fg%2F11fmgr3wlk!19sChIJW5BXm18X2jERyBpFO0nnjkg?authuser=0&hl=en&rclk=1,Ang Mo Kio,Dim Sum Express (Ang Mo Kio),3,False,3.7,884,Hawker Stall,Price: Inexpensive,"['555 Ang Mo Kio Ave 10, #01-1936 Cheng San Place, Singapore 560555', 'Place an order', 'facebook.com', '9VC4+7R Singapore', 'Send to your phone']","['porridge - 47', 'chee cheong fun - 38', 'queue - 37', 'value - 37', 'siew mai - 36', 'har gao - 24', 'steamed - 24', 'bao - 19', 'chicken feet - 13']","['Outdoor seating', 'Kerbside pickup', 'Takeaway', 'Dine-in', 'Delivery', 'Wheelchair-accessible car park', 'Wheelchair-accessible seating', 'Coffee', 'Late-night food', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Seating', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Good for kids', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Dim+Sum+Express+%28Ang+Mo+Kio%29/data=!4m7!3m6!1s0x31da175f9b57905b:0x488ee7493b451ac8!8m2!3d1.3706254!4d103.8570622!16s%2Fg%2F11fmgr3wlk!19sChIJW5BXm18X2jERyBpFO0nnjkg?authuser=0&hl=en&rclk=1,Ang Mo Kio,Dim Sum Express (Ang Mo Kio),4,True,NAN,NAN,TimeoutException,NAN,[],"['porridge - 47', 'chee cheong fun - 38', 'queue - 37', 'value - 37', 'siew mai - 36', 'har gao - 24', 'steamed - 24', 'bao - 19', 'chicken feet - 13']",[]
https://www.google.com/maps/place/Al+Mubin+Restaurant+-+Ang+Mo+Kio/data=!4m7!3m6!1s0x31da1706ea4301c9:0x800bc60811fe6deb!8m2!3d1.372629!4d103.8559598!16s%2Fg%2F11rpvmfqc8!19sChIJyQFD6gYX2jER623-EQjGC4A?authuser=0&hl=en&rclk=1,Ang Mo Kio,Al Mubin Restaurant - Ang Mo Kio,5,True,3.3,113,Indian Muslim Restaurant,Price: Inexpensive,"['529 Ang Mo Kio Ave 10, #01-2359 #, Singapore 560529', 'Place an order', '9VF4+39 Singapore', 'Send to your phone', 'Claim this business']","['prata - 14', 'price - 9', 'butter chicken - 7', 'goreng - 6', 'night - 5', 'cashier - 3', 'solid - 3', 'order - 3', 'fish - 3']","['Outdoor seating', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Coffee', 'Late-night food', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating', 'Toilets', 'Casual', 'Groups', 'Good for kids', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Srisun+Express+-+Ang+Mo+Kio+Ave10/data=!4m7!3m6!1s0x31da1770cb18f9e7:0x3021457187ccc171!8m2!3d1.3619869!4d103.8554121!16s%2Fg%2F11g1lxn2jq!19sChIJ5_kYy3AX2jERccHMh3FFITA?authuser=0&hl=en&rclk=1,Ang Mo Kio,Srisun Express - Ang Mo Kio Ave10,6,True,3.3,339,Indian Muslim Restaurant,Price: Moderate,"['407 Ang Mo Kio Ave 10, #01-743 Teck Ghee Square, Singapore 560407', 'Located in: Teck Ghee Square', 'Place an order', 'srisunexpress.com.sg', '6665 1743', '9V64+Q5 Singapore', 'Send to your phone', 'Claim this business']","['prata - 26', 'egg - 8', 'mee goreng - 7', 'gravy - 6', 'thosai - 6', 'pay - 5', 'maggi goreng - 4', 'nasi goreng - 3', 'murtabak - 3']","['Outdoor seating', 'Delivery', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Coffee', 'Late-night food', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Seating', 'Toilets', 'Casual', 'Groups', 'Credit cards', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids', 'Plenty of parking']"
https://www.google.com/maps/place/Boon+Tong+Kee+@+AMK/data=!4m7!3m6!1s0x31da16d96b7be15b:0x5725d1edb05d753a!8m2!3d1.3674605!4d103.8370641!16s%2Fg%2F1ptyfcfqx!19sChIJW-F7a9kW2jEROnVdsO3RJVc?authuser=0&hl=en&rclk=1,Ang Mo Kio,Boon Tong Kee @ AMK,7,True,4.1,908,Chicken restaurant,NAN,"['233 Ang Mo Kio Ave 3, #01-1194, Singapore 560233', 'Floor 1 · Block 233 HDB Ang Mo Kio', 'Place an order', 'boontongkee.com.sg', '6457 2696', '9R8P+XR Singapore', 'Send to your phone', 'Claim this business']","['chicken rice - 131', 'tofu - 21', 'carpark - 17', 'steamed - 15', 'char siew - 11', 'sweet sour pork - 6', 'chili sauce - 6', 'kang kong - 6', 'pork ribs - 6']","['Outdoor seating', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Coffee', 'Small plates', 'Brunch', 'Lunch', 'Dinner', 'Dessert', 'Seating', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Credit cards', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids', 'High chairs', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Swee+Choon+Express+AMK+Hub/data=!4m7!3m6!1s0x31da1770a9d38737:0xae1e8e8bfe90f1ce!8m2!3d1.3690633!4d103.8481101!16s%2Fg%2F11sm9wg_xj!19sChIJN4fTqXAX2jERzvGQ_ouOHq4?authuser=0&hl=en&rclk=1,Ang Mo Kio,Swee Choon Express AMK Hub,8,True,3.6,127,Dim sum restaurant,NAN,"['53 Ang Mo Kio Ave 3, #01-42 AMK Hub, Singapore 569933', 'Floor 1 · AMK Hub', 'Place an order', 'sweechoon.com', '6969 1467', '9R9X+J6 Singapore', 'Send to your phone']","['price - 13', 'queue - 7', 'chee cheong fun - 6', 'carrot cake - 5', 'management - 5', 'prawn - 5', 'har gao - 5', 'cashier - 4', 'money - 4']","['Delivery', 'Takeaway', 'Dine-in', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Casual', 'Groups', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids']"
https://www.google.com/maps/place/Cheng+San+Market+%26+Cooked+Food+Centre/data=!4m7!3m6!1s0x31da16e56f714173:0x7b7e4f2a4209d552!8m2!3d1.3728057!4d103.8544582!16s%2Fg%2F1tf33gp2!19sChIJc0Fxb-UW2jERUtUJQipPfns?authuser=0&hl=en&rclk=1,Ang Mo Kio,Cheng San Market & Cooked Food Centre,9,True,4.0,2480,Hawker center,Price: Inexpensive,"['527 Ang Mo Kio Ave 10, Singapore 560527', 'nea.gov.sg', '6225 5632', '9VF3+4Q Singapore', 'Send to your phone', 'Claim this business']","['stall - 163', 'chicken rice - 45', 'wet market - 35', 'lor mee - 32', 'varieties - 32', 'local food - 30', 'teochew porridge - 21', 'yong tau foo - 21', 'carrot cake - 20']","['Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Alcohol', 'Beer', 'Coffee', 'Healthy options', 'Late-night food', 'Quick bite', 'Small plates', 'Vegan options', 'Vegetarian options', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Dessert', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Orh+Kee+Noodles+-+AMK+51/data=!4m7!3m6!1s0x31da17c44729a2bb:0x9eab184dcef6dcc5!8m2!3d1.3692356!4d103.8473675!16s%2Fg%2F11kq29q_8h!19sChIJu6IpR8QX2jERxdz2zk0Yq54?authuser=0&hl=en&rclk=1,Ang Mo Kio,Orh Kee Noodles - AMK 51,10,True,2.5,21,Restaurant,NAN,"['51 Ang Mo Kio Ave 3, #01-03 Stall 7 @AMK, Singapore 569922', 'Floor 1 · 51@AMK', 'Place an order', 'facebook.com', '9R9W+MW Singapore', 'Send to your phone']","['soup - 7', 'meatball - 6', 'price - 6', 'liver - 5', 'pork - 5']","['Delivery', 'Takeaway', 'Dine-in', 'Coffee', 'Small plates', 'Brunch', 'Lunch', 'Dinner', 'Toilets', 'Casual', 'Groups', 'Good for kids']"
"https://www.google.com/maps/place/Steamed+Society+%28632,+Ang+Mo+Kio%29/data=!4m7!3m6!1s0x31da17017dc088ef:0x7a075c01eabd970a!8m2!3d1.3797331!4d103.84149!16s%2Fg%2F11khmmn1t6!19sChIJ74jAfQEX2jERCpe96gFcB3o?authuser=0&hl=en&rclk=1",Ang Mo Kio,"Steamed Society (632, Ang Mo Kio)",11,True,1.6,10,Chinese restaurant,NAN,"['632 Ang Mo Kio Ave 4, Block 632 HDB, Singapore 560632', 'Floor 1 · Food city', 'Place an order', '9RHR+VH Singapore', 'Send to your phone']",['salt - 4'],"['Takeaway', 'Dine-in', 'Small plates', 'Lunch', 'Dinner', 'Casual', 'Groups', 'Good for kids']"
https://www.google.com/maps/place/OK+Chicken+Rice+%26+Humfull+Laksa+%28Ang+Mo+Kio%29/data=!4m7!3m6!1s0x31da1bfe6c4768eb:0xa6435014e7976669!8m2!3d1.3723994!4d103.8479423!16s%2Fg%2F11h77zd8mt!19sChIJ62hHbP4b2jERaWaX5xRQQ6Y?authuser=0&hl=en&rclk=1,Ang Mo Kio,OK Chicken Rice & Humfull Laksa (Ang Mo Kio),12,True,4.5,473,Hawker Stall,NAN,"['721 Ang Mo Kio Ave 8, Foodloft Coffeeshop, Singapore 560721', 'Place an order', 'Menu', '9026 7051', '9RCX+X5 Singapore', 'Send to your phone']","['roasted chicken - 26', 'halal - 24', 'curry chicken - 22', 'steam chicken - 18', 'herbal - 8', 'steamed - 7', 'fragrant - 6', 'succulent - 6', 'chili sauce - 6']","['Outdoor seating', 'No-contact delivery', 'Delivery', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible seating', 'Coffee', 'Small plates', 'Brunch', 'Lunch', 'Dinner', 'Seating', 'Toilets', 'Casual', 'Groups', 'NFC mobile payments', 'Good for kids', 'Somewhat difficult to find a space']"
https://www.google.com/maps/place/Ang+Mo+Kio+Central+Market+%26+Food+Centre/data=!4m7!3m6!1s0x31da179d7924f75b:0xea507c69aff1068f!8m2!3d1.3721841!4d103.8465592!16s%2Fg%2F11h4dgc449!19sChIJW_ckeZ0X2jERjwbxr2l8UOo?authuser=0&hl=en&rclk=1,Ang Mo Kio,Ang Mo Kio Central Market & Food Centre,13,True,4.2,680,Hawker center,Price: Inexpensive,"['724 Ang Mo Kio Ave 6, Singapore 560724', 'nea.gov.sg', '6225 5632', '9RCW+VJ Singapore', 'Send to your phone', 'Claim this business']","['stalls - 53', 'yong tau foo - 21', 'wanton mee - 19', 'local food - 19', 'char kway teow - 18', 'chicken rice - 14', 'carrot cake - 12', 'satay bee hoon - 11', 'duck rice - 11']","['Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Alcohol', 'Beer', 'Coffee', 'Small plates', 'Vegan options', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Dessert', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Good for kids', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Gim+Tim+Restaurant/data=!4m7!3m6!1s0x31da16c3703969c9:0x7b359d28898b65d8!8m2!3d1.3751464!4d103.8399402!16s%2Fg%2F1tf38138!19sChIJyWk5cMMW2jER2GWLiSidNXs?authuser=0&hl=en&rclk=1,Ang Mo Kio,Gim Tim Restaurant,14,True,3.8,474,Chinese restaurant,Price: Expensive,"['157 Ang Mo Kio Ave 4, #01-546, Singapore 560157', 'Floor 1 · Block 157 HDB Ang Mo Kio', 'Place an order', 'Menu', 'gimtim.com.sg', '6459 7766', '9RGQ+3X Singapore', 'Send to your phone']","['prawns - 14', 'school - 11', 'peking duck - 10', 'bun - 8', 'scallops - 7', 'wedding - 6', 'hokkien - 5', 'grouper - 5', 'yam - 5']","['Outdoor seating', 'Delivery', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Alcohol', 'Beer', 'Coffee', 'Small plates', 'Spirits', 'Wine', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating', 'Toilets', 'Wi-Fi', 'Free Wi-Fi', 'Casual', 'Family friendly', 'Groups', 'Accepts reservations', 'Credit cards', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids', 'High chairs', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Mr+Teh+Tarik+Eating+House/data=!4m7!3m6!1s0x31da16e7ecefbc3b:0xbc0ed3339c5e7a57!8m2!3d1.3727031!4d103.8456739!16s%2Fg%2F11crzrdgmd!19sChIJO7zv7OcW2jERV3penDPTDrw?authuser=0&hl=en&rclk=1,Ang Mo Kio,Mr Teh Tarik Eating House,15,True,3.8,695,Halal restaurant,Price: Inexpensive,"['728 Ang Mo Kio Ave 6, #01-4200, Singapore 560728', 'mrtehtarik.com.sg', '9RFW+37 Singapore', 'Send to your phone', 'Claim this business']","['stall - 35', 'ayam penyet - 16', 'seafood - 15', 'coffee shop - 13', 'western food - 9', 'local - 8', 'varieties - 7', 'chicken rice - 6', 'malay food - 6']","['Takeaway', 'Coffee', 'Halal food', 'Dinner', 'NFC mobile payments']"
https://www.google.com/maps/place/Khao+Hom+by+Rung+Mama/data=!4m7!3m6!1s0x31da1732d8b2b45b:0x8abc713d94ab57b6!8m2!3d1.3729325!4d103.8477064!16s%2Fg%2F11qmt872v4!19sChIJW7Sy2DIX2jERtlerlD1xvIo?authuser=0&hl=en&rclk=1,Ang Mo Kio,Khao Hom by Rung Mama,16,True,4.7,1204,Thai restaurant,Price: Moderate,"['5 Ang Mo Kio Central 2, #01-06, Singapore 569663', 'Floor 1 · Djitsun Mall', 'Closed ⋅ Opens 11\u202fam', 'Find a table', 'Place an order', 'Menu', 'khaohomsg.com', '8202 2512', '9RFX+53 Singapore', 'Send to your phone']","['natto - 47', 'crab omelette - 39', 'moo ping - 27', 'grilled pork - 16', 'steamed fish - 11', 'steamed squid - 9', 'fern - 8', 'tom yum seafood - 8', 'omelette rice - 6']","['Delivery', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Alcohol', 'Beer', 'Coffee', 'Small plates', 'Lunch', 'Dinner', 'Catering', 'Dessert', 'Seating', 'Toilets', 'Casual', 'Family friendly', 'Groups', 'Accepts reservations', 'Credit cards', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Vincent+Western+Food+%28%2301-08%29/data=!4m7!3m6!1s0x31da16e7b91e251b:0x81504cc562fac29!8m2!3d1.3719141!4d103.8464355!16s%2Fg%2F11c57sp8x8!19sChIJGyUeuecW2jERKawvVswEFQg?authuser=0&hl=en&rclk=1,Ang Mo Kio,Vincent Western Food (#01-08),17,True,4.3,79,Hawker Stall,Price: Inexpensive,"['724 Ang Mo Kio Ave 6, #01-08, Singapore 560724', 'Located in: Ang Mo Kio Central Market & Food Centre', 'the.fat.guide', '9RCW+QH Singapore', 'Send to your phone', 'Claim this business']","['chicken - 20', 'price - 16', 'pork chop - 12', 'coleslaw - 11', 'money - 10', 'fries - 9', 'queue - 9', 'beef - 6', 'school - 6']","['Takeaway', 'Dine-in', 'Wheelchair-accessible seating', 'Small plates', 'Lunch', 'Dinner', 'Casual', 'Groups', 'Accepts reservations', 'Good for kids']"
https://www.google.com/maps/place/Food+Loft+%28Ang+Mo+Kio+Avenue+8%29/data=!4m7!3m6!1s0x31da17dea1e3ce29:0xaba8053a8abe7783!8m2!3d1.3726008!4d103.8479269!16s%2Fg%2F11j9041t2w!19sChIJKc7jod4X2jERg3e-ijoFqKs?authuser=0&hl=en&rclk=1,Ang Mo Kio,Food Loft (Ang Mo Kio Avenue 8),18,True,3.9,78,Coffee shop,Price: Inexpensive,"['721 Ang Mo Kio Ave 8, #01-2823, Singapore 560721', 'Place an order', 'foodloft.sg', '9RFX+25 Singapore', 'Send to your phone']","['rice - 7', 'stall - 6', 'vegetarian - 6', 'beer - 6', 'roasted - 4', 'western food - 3', 'bowl - 3', 'halal - 3', 'duck - 3']","['Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Alcohol', 'Beer', 'Coffee', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Credit cards', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids']"
https://www.google.com/maps/place/Rasa+Sayang+Western+Food+%28Original%29/data=!4m7!3m6!1s0x31da17380e8d59e1:0x198a711cf45ad189!8m2!3d1.3671326!4d103.8485841!16s%2Fg%2F11n6rx56lx!19sChIJ4VmNDjgX2jERidFa9Bxxihk?authuser=0&hl=en&rclk=1,Ang Mo Kio,Rasa Sayang Western Food (Original),19,True,4.3,251,Hawker Stall,Price: Inexpensive,"['347 Ang Mo Kio Ave 3, #01-2142, Singapore 560347', 'Floor 1 · ST 31 Coffee House', '9R8X+VC Singapore', 'Send to your phone']","['chop - 32', 'fries - 20', 'chicken cutlet - 19', 'school - 18', 'ribeye - 11', 'coleslaw - 11', 'garlic bread - 10', 'marinated - 8', 'baked beans - 6']","['Outdoor seating', 'Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Coffee', 'Small plates', 'Lunch', 'Dinner', 'Seating', 'Toilets', 'Casual', 'Family friendly', 'Groups', 'Accepts reservations', 'Cash only', 'Good for kids', 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Jack%27s+Place+Ang+Mo+Kio/data=!4m7!3m6!1s0x31da16e821ed001d:0xe85379f988d2f977!8m2!3d1.3737652!4d103.8456175!16s%2Fg%2F1vyk00d8!19sChIJHQDtIegW2jERd_nSiPl5U-g?authuser=0&hl=en&rclk=1,Ang Mo Kio,Jack's Place Ang Mo Kio,20,True,3.9,1268,Western restaurant,Price: Moderate,"['730 Ang Mo Kio Ave 6, #01-4274, Singapore 560730', 'Find a table', 'Place an order', 'Menu', 'jacksplace.com.sg', '6454 9677', '9RFW+G6 Singapore', 'Send to your phone']","['value - 27', 'baked potato - 24', 'fish and chips - 21', 'medium rare - 20', 'hot plate - 15', 'nostalgic - 15', 'lobster bisque - 11', 'sour cream - 10', 'spring onion - 9']","['Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible entrance', 'Wheelchair-accessible seating', 'Wheelchair-accessible toilet', 'Alcohol', 'Beer', 'Cocktails', 'Coffee', 'Happy-hour drinks', 'Healthy options', 'Small plates', 'Vegetarian options', 'Wine', 'Brunch', 'Lunch', 'Dinner', 'Dessert', 'Seating', 'Toilets', 'Wi-Fi', 'Free Wi-Fi', 'Casual', 'Cosy', 'Family friendly', 'Groups', 'Accepts reservations', 'Credit cards', 'Debit cards', 'NFC mobile payments', 'Credit cards', 'Good for kids', 'Good for kids birthday', ""Kids' menu"", 'Paid parking lot', 'Plenty of parking']"
https://www.google.com/maps/place/Ang+Mo+Kio+Fried+Kway+Teow+%28%2301-22%29+%E5%AE%8F%E8%8C%82%E6%A9%8B%E9%AE%AE%E8%9B%A4%E7%82%92%E7%B2%BF%E6%A2%9D/data=!4m7!3m6!1s0x31da16e7bf44b4d3:0x914690752b177189!8m2!3d1.372185!4d103.846562!16s%2Fg%2F11cl_k0s_0!19sChIJ07REv-cW2jERiXEXK3WQRpE?authuser=0&hl=en&rclk=1,Ang Mo Kio,Ang Mo Kio Fried Kway Teow (#01-22) 宏茂橋鮮蛤炒粿條,21,True,4.4,160,Hawker Stall,Price: Inexpensive,"['724 Ang Mo Kio Ave 6, #01-22, Singapore 560724', 'Located in: Ang Mo Kio Central Market & Food Centre', 'the.fat.guide', '9729 8273', '9RCW+VJ Singapore', 'Send to your phone']","['queue - 45', 'lard - 24', 'cockles - 21', 'wok hei - 18', 'sweet - 14', 'plate - 13', 'chinese sausage - 9', 'fish cake - 7', 'lunch - 7']","['Takeaway', 'Dine-in', 'Wheelchair-accessible car park', 'Wheelchair-accessible seating', 'Small plates', 'Breakfast', 'Brunch', 'Lunch', 'Dinner', 'Toilets', 'Casual', 'Groups', 'Accepts reservations', 'Good for kids']"
https://www.google.com/maps/place/Ang+Mo+Kio+Fried+Kway+Teow+%28%2301-22%29+%E5%AE%8F%E8%8C%82%E6%A9%8B%E9%AE%AE%E8%9B%A4%E7%82%92%E7%B2%BF%E6%A2%9D/data=!4m7!3m6!1s0x31da16e7bf44b4d3:0x914690752b177189!8m2!3d1.372185!4d103.846562!16s%2Fg%2F11cl_k0s_0!19sChIJ07REv-cW2jERiXEXK3WQRpE?authuser=0&hl=en&rclk=1,Ang Mo Kio,Ang Mo Kio Fried Kway Teow (#01-22) 宏茂橋鮮蛤炒粿條,22,True,NAN,NAN,Hawker Stall,NAN,"['Ang Mo Kio Ave 8, #01-2823 Block 721, Singapore 560721', 'Floor 1 · Food Loft (Ang Mo Kio Avenue 8)', 'Place an order', 'sfgroup.com.sg', '9RFX+24 Singapore', 'Send to your phone', 'Claim this business']","['queue - 45', 'lard - 24', 'cockles - 21', 'wok hei - 18', 'sweet - 14', 'plate - 13', 'chinese sausage - 9', 'fish cake - 7', 'lunch - 7']",[]
